hsa03036 Chromosome and associated proteins (304)

  hsa:10274 STAG1; stromal antigen 1
  hsa:2243 FGA; fibrinogen alpha chain
  hsa:2200 FBN1; fibrillin 1
  hsa:5054 SERPINE1; serpin family E member 1
  hsa:6469 SHH; sonic hedgehog signaling molecule
  hsa:64093 SMOC1; SPARC related modular calcium binding 1
  hsa:6546 SLC8A1; solute carrier family 8 member A1
  hsa:7143 TNR; tenascin R
  hsa:7057 THBS1; thrombospondin 1
  hsa:7471 WNT1; Wnt family member 1
  hsa:80781 COL18A1; collagen type XVIII alpha 1 chain
  hsa:85301 COL27A1; collagen type XXVII alpha 1 chain
  hsa:952 CD38; CD38 molecule

hsa03110 Chaperones and folding catalysts (21)

  hsa:10575 CCT4; chaperonin containing TCP1 subunit 4
  hsa:10273 STUB1; STIP1 homology and U-box containing protein 1
  hsa:10283 CWC27; CWC27 spliceosome associated cyclophilin
  hsa:10695 CNPY3; canopy FGF signaling regulator 3
  hsa:131118 DNAJC19; DnaJ heat shock protein family (Hsp40) member C19
  hsa:124512 METTL23; methyltransferase like 23
  hsa:1200 TPP1; tripeptidyl peptidase 1
  hsa:1861 TOR1A; torsin family 1 member A
  hsa:23184 MESD; mesoderm development LRP chaperone
  hsa:26092 TOR1AIP1; torsin 1A interacting protein 1
  hsa:27429 HTRA2; HtrA serine peptidase 2
  hsa:3329 HSPD1; heat shock protein family D (Hsp60) member 1
  hsa:3073 HEXA; hexosaminidase subunit alpha
  hsa:3074 HEXB; hexosaminidase subunit beta
  hsa:51501 HIKESHI; heat shock protein nuclear import factor hikeshi
  hsa:56521 DNAJC12; DnaJ heat shock protein family (Hsp40) member C12
  hsa:55898 UNC45A; unc-45 myosin chaperone A
  hsa:57003 CCDC47; coiled-coil domain containing 47
  hsa:81570 CLPB; caseinolytic mitochondrial matrix peptidase chaperone subunit B
  hsa:8195 MKKS; MKKS centrosomal shuttling protein
  hsa:9829 DNAJC6; DnaJ heat shock protein family (Hsp40) member C6

hsa03012 Translation factors (17)

  hsa:10102 TSFM; Ts translation elongation factor, mitochondrial
  hsa:1801 DPH1; diphthamide biosynthesis 1
  hsa:1968 EIF2S3; eukaryotic translation initiation factor 2 subunit gamma
  hsa:1977 EIF4E; eukaryotic translation initiation factor 4E
  hsa:1981 EIF4G1; eukaryotic translation initiation factor 4 gamma 1
  hsa:1917 EEF1A2; eukaryotic translation elongation factor 1 alpha 2
  hsa:1933 EEF1B2; eukaryotic translation elongation factor 1 beta 2
  hsa:23708 GSPT2; G1 to S phase transition 2
  hsa:3508 IGHMBP2; immunoglobulin mu DNA binding protein 2
  hsa:51651 PTRH2; peptidyl-tRNA hydrolase 2
  hsa:84340 GFM2; GTP dependent ribosome recycling factor mitochondrial 2
  hsa:85476 GFM1; G elongation factor mitochondrial 1
  hsa:8890 EIF2B4; eukaryotic translation initiation factor 2B subunit delta
  hsa:8893 EIF2B5; eukaryotic translation initiation factor 2B subunit epsilon
  hsa:8665 EIF3F; eukaryotic translation initiation factor 3 subunit F
  hsa:8666 EIF3G; eukaryotic translation initiation factor 3 subunit G
  hsa:9775 EIF4A3; eukaryotic translation initiation factor 4A3

hsa03310 Nuclear receptors (13)

  hsa:2100 ESR2; estrogen receptor 2
  hsa:2103 ESRRB; estrogen related receptor beta
  hsa:367 
  hsa:4306 NR3C2; nuclear receptor subfamily 3 group C member 2
  hsa:4929 NR4A2; nuclear receptor subfamily 4 group A member 2
  hsa:5915 RARB; retinoic acid receptor beta
  hsa:6095 RORA; RAR related orphan receptor A
  hsa:6096 RORB; RAR related orphan receptor B
  hsa:7067 THRA; thyroid hormone receptor alpha
  hsa:7068 THRB; thyroid hormone receptor beta
  hsa:7025 NR2F1; nuclear receptor subfamily 2 group F member 1
  hsa:7421 VDR; vitamin D receptor
  hsa:9572 NR1D1; nuclear receptor subfamily 1 group D member 1

hsa01004 Lipid biosynthesis proteins (12)

  hsa:10555 AGPAT2; 1-acylglycerol-3-phosphate O-acyltransferase 2
  hsa:10999 SLC27A4; solute carrier family 27 member 4
  hsa:2194 FASN; fatty acid synthase
  hsa:2182 ACSL4; acyl-CoA synthetase long chain family member 4
  hsa:51099 ABHD5; abhydrolase domain containing 5, lysophosphatidic acid acyltransferase
  hsa:54898 ELOVL2; ELOVL fatty acid elongase 2
  hsa:5538 PPT1; palmitoyl-protein thioesterase 1
  hsa:6785 ELOVL4; ELOVL fatty acid elongase 4
  hsa:79143 MBOAT7; membrane bound O-acyltransferase domain containing 7
  hsa:8560 DEGS1; delta 4-desaturase, sphingolipid 1
  hsa:9524 TECR; trans-2,3-enoyl-CoA reductase
  hsa:9415 FADS2; fatty acid desaturase 2

hsa00537 Glycosylphosphatidylinositol (GPI)-anchored proteins (11)

  hsa:10082 GPC6; glypican 6
  hsa:2239 GPC4; glypican 4
  hsa:2348 FOLR1; folate receptor alpha
  hsa:2719 GPC3; glypican 3
  hsa:3105 HLA-A; major histocompatibility complex, class I, A
  hsa:3106 HLA-B; major histocompatibility complex, class I, B
  hsa:3135 HLA-G; major histocompatibility complex, class I, G
  hsa:43 ACHE; acetylcholinesterase (Cartwright blood group)
  hsa:5167 ENPP1; ectonucleotide pyrophosphatase/phosphodiesterase 1
  hsa:5329 PLAUR; plasminogen activator, urokinase receptor
  hsa:683 BST1; bone marrow stromal cell antigen 1

hsa01006 Prenyltransferases (8)

  hsa:1121 CHM; CHM Rab escort protein
  hsa:1352 COX10; cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10
  hsa:2222 FDFT1; farnesyl-diphosphate farnesyltransferase 1
  hsa:23590 PDSS1; decaprenyl diphosphate synthase subunit 1
  hsa:27235 COQ2; coenzyme Q2, polyprenyltransferase
  hsa:54802 TRIT1; tRNA isopentenyltransferase 1
  hsa:57107 PDSS2; decaprenyl diphosphate synthase subunit 2
  hsa:79947 DHDDS; dehydrodolichyl diphosphate synthase subunit

hsa00535 Proteoglycans (7)

  hsa:10082 GPC6; glypican 6
  hsa:2239 GPC4; glypican 4
  hsa:2719 GPC3; glypican 3
  hsa:3339 HSPG2; heparan sulfate proteoglycan 2
  hsa:6383 SDC2; syndecan 2
  hsa:80781 COL18A1; collagen type XVIII alpha 1 chain
  hsa:9126 SMC3; structural maintenance of chromosomes 3

hsa04052 Cytokines and growth factors (7)

  hsa:2257 FGF12; fibroblast growth factor 12
  hsa:2258 FGF13; fibroblast growth factor 13
  hsa:2259 FGF14; fibroblast growth factor 14
  hsa:2657 GDF1; growth differentiation factor 1
  hsa:3479 IGF1; insulin like growth factor 1
  hsa:3952 LEP; leptin
  hsa:9542 NRG2; neuregulin 2

hsa03011 Ribosome (6)

  hsa:56945 MRPS22; mitochondrial ribosomal protein S22
  hsa:6231 RPS26; ribosomal protein S26
  hsa:6124 RPL4; ribosomal protein L4
  hsa:6134 RPL10; ribosomal protein L10
  hsa:6154 RPL26; ribosomal protein L26
  hsa:65993 MRPS34; mitochondrial ribosomal protein S34

hsa04050 Cytokine receptors (4)

  hsa:11141 IL1RAPL1; interleukin 1 receptor accessory protein like 1
  hsa:1524 CX3CR1; C-X3-C motif chemokine receptor 1
  hsa:26280 IL1RAPL2; interleukin 1 receptor accessory protein like 2
  hsa:7850 IL1R2; interleukin 1 receptor type 2

hsa04091 Lectins (4)

  hsa:4099 MAG; myelin associated glycoprotein
  hsa:3897 L1CAM; L1 cell adhesion molecule
  hsa:78989 COLEC11; collectin subfamily member 11
  hsa:84572 GNPTG; N-acetylglucosamine-1-phosphate transferase subunit gamma

hsa00199 Cytochrome P450 (3)

  hsa:113612 CYP2U1; cytochrome P450 family 2 subfamily U member 1
  hsa:1584 CYP11B1; cytochrome P450 family 11 subfamily B member 1
  hsa:1593 CYP27A1; cytochrome P450 family 27 subfamily A member 1

hsa03051 Proteasome (3)

  hsa:23198 PSME4; proteasome activator subunit 4
  hsa:389362 PSMG4; proteasome assembly chaperone 4
  hsa:5718 PSMD12; proteasome 26S subunit, non-ATPase 12

hsa04054 Pattern recognition receptors (2)

  hsa:114548 NLRP3; NLR family pyrin domain containing 3
  hsa:64135 IFIH1; interferon induced with helicase C domain 1

hsa02044 Secretion system (2)

  hsa:6729 SRP54; signal recognition particle 54
  hsa:6734 SRPRA; SRP receptor subunit alpha

